挨	ái	to endure, to suffer
偏偏	piān piān	contrary to expectations, against one's wish
漂浮	piāo fú	to float, to drift, superficial, showy
飘扬	piāo yáng	to wave, to flutter, to fly
拼搏	pīn bó	to work as hard as possible
品尝	pǐn cháng	sample, to sample, to taste
品德	pǐn dé	moral character
贫乏	pín fá	poor, lacking, insufficient
频繁	pín fán	frequently, often
贫困	pín kùn	poverty, poor
频率	pín lǜ	frequency
拼命	pīn mìng	with all one has, at all costs
品行	pǐn xíng	behaviour, moral conduct
品质	pǐn zhì	quality
平凡	píng fán	common, ordinary
评估	píng gū	evaluation, assessment, to evaluate, to assess
评论	píng lùn	commentary, review, to comment on, to discuss
平面	píng miàn	plane, flat surface, plane surface
平坦	píng tǎn	flat, level, even
平行	píng xíng	parallel, simultaneous, at the same level
平原	píng yuán	plain, field
屏障	píng zhàng	protective screen, barrier, shield
坡	pō	slope
泼	pō	to splash, to spill
颇	pō	very, pretty
迫不及待	pò bù jí dài	to be too impatient to wait, to brook no delay
迫害	pò hài	persecution, to persecute
破例	pò lì	to make an exception
魄力	pò lì	courage, daring, boldness
扑	pū	to throw oneself on, to pounce
铺	pū	to spread, to extend, to pave, to lay
瀑布	pù bù	waterfall
普及	pǔ jí	to popularize, popular, universally available
朴实	pǔ shí	plain, simple
器材	qì cái	equipment, material
起草	qǐ cǎo	draft, to draft, to draw up
启程	qǐ chéng	to set out on a journey
起初	qǐ chū	originally, at first
欺负	qī fu	to bully, to intimidate
起伏	qǐ fú	to undulate, to move up and down
乞丐	qǐ gài	beggar
气概	qì gài	mettle, spirit, lofty quality
气功	qì gōng	qigong
器官	qì guān	organ, apparatus
起哄	qǐ hòng	to create a disturbance
迄今为止	qì jīn wéi zhǐ	so far, up to now
凄凉	qī liáng	desolate, dreary, lonely
起码	qǐ mǎ	at the minimum, at least
奇妙	qí miào	wonderful, fantastic
旗袍	qí páo	Chinese dress
欺骗	qī piàn	to deceive, to cheat
气魄	qì pò	daring, boldness, verve
齐全	qí quán	complete
气色	qì sè	complexion, colour
歧视	qí shì	discrimination, to discriminate against
启示	qǐ shì	enlightenment, announcement, apocalypse
启事	qǐ shì	announcement, notice
气势	qì shì	momentum, vigor, imposing manner
期望	qī wàng	hope, expectation, to hope, to expect
气味	qì wèi	odor, scent
期限	qī xiàn	deadline, time limit
气象	qì xiàng	meteorology
齐心协力	qí xīn xié lì	to work as one, to make concerted efforts
气压	qì yā	atmospheric pressure
起义	qǐ yì	uprising, insurrection, revolt, to revolt, to uprise, to rebel
岂有此理	qǐ yǒu cǐ lǐ	outragious, preposterous, This is not true, is it?
起源	qǐ yuán	origin, source, to originate, to come from
旗帜	qí zhì	flag, banner
掐	qiā	to pick, to pinch, to clutch
恰当	qià dàng	suitable, appropriate, proper
恰到好处	qià dào hǎo chù	just right
恰巧	qià qiǎo	fortunately, by chance
洽谈	qià tán	to talk over with, to negotiate with
牵扯	qiān chě	to implicate, to involve
签订	qiān dìng	to conclude and sign
千方百计	qiān fāng bǎi jì	to try every possible way
前景	qián jǐng	prospect, perspective, foreground
迁就	qiān jiù	to accommodate to, to yield, to meet halfway
潜力	qián lì	potential, capacity
签署	qiān shǔ	to sign
潜水	qián shuǐ	diving, to dive, to go under water
前提	qián tí	precondition, prerequisite
迁徙	qiān xǐ	to move, to migrate
谦逊	qiān xùn	modesty, humility, modest, humble
潜移默化	qián yí mò huà	to influence secretly
谴责	qiǎn zé	condemnation, to denounce, to condemn, to criticize
牵制	qiān zhì	to curb, to pin down, to control
抢劫	qiǎng jié	robbery, plunderage, to rob, to plunder
抢救	qiǎng jiù	to rescue, to save
强迫	qiǎng pò	to compel, to force
强制	qiáng zhì	enforcement, to enforce, to compel
翘	qiào	to raise, to hold up, outstanding
桥梁	qiáo liáng	bridge
锲而不舍	qiè ér bù shě	to keep on working with perseverance
切实	qiè shí	feasible, realistic, practical
侵犯	qīn fàn	to infringe on, to violate (law, rule, etc.)
勤俭	qín jiǎn	hardworking and frugal
勤恳	qín kěn	diligent, attentive, sincere
钦佩	qīn pèi	to admire, to look up to
亲热	qīn rè	intimate, loving, affectionate
亲身	qīn shēn	personal, firsthand, personally
氢	qīng	hydrogen
情报	qíng bào	information, intelligence
清澈	qīng chè	clear, limpid
清晨	qīng chén	early morning
清除	qīng chú	to clear away, to eliminate, to get rid of
轻而易举	qīng ér yì jǔ	easy, with ease
请柬	qǐng jiǎn	invitation card
请教	qǐng jiào	to consult, seek advice
清洁	qīng jié	clean, unpolluted
情节	qíng jié	story, plot, circumstances
晴朗	qíng lǎng	sunny, cloudless
清理	qīng lǐ	to clean up, to put in order, to check up
情理	qíng lǐ	reason, sense
请示	qǐng shì	to ask for instructions
请帖	qǐng tiě	invitation card
倾听	qīng tīng	to listen attentively, to give an ear to
清晰	qīng xī	clear, distinct
倾向	qīng xiàng	trend, tendency, to tend to, to be inclined to
倾斜	qīng xié	to incline, to lean, to slant
清醒	qīng xǐng	clear-headed, sober, awake
情形	qíng xíng	circumstances, situation
清真	qīng zhēn	Muslim, halal (food)
丘陵	qiū líng	hill
渠道	qú dào	medium of communication, channel, ditch
取缔	qǔ dì	to ban, to prohibit
区分	qū fēn	to distinguish, to differentiate between
屈服	qū fú	to submit, to surrender, to yield
趣味	qù wèi	interest, delight, fun, taste
区域	qū yù	area, region, district
曲折	qū zhé	complications, winding, complicated, winding, zigzag
驱逐	qū zhú	to expel, to banish
曲子	qǔ zi	tune, melody, music
犬	quǎn	dog
权衡	quán héng	to weigh, to balance, to consider
全局	quán jú	general situation
全力以赴	quán lì yǐ fù	make an all-out effort, to go all out
圈套	quān tào	trap, snare
拳头	quán tou	fist
权威	quán wēi	authority, authoritative
权益	quán yì	rights and interest
瘸	qué	to be lame, to limp
确保	què bǎo	to assure, to guarantee
缺口	quē kǒu	nick, jag, gap
确立	què lì	to establish
确切	què qiè	exact, definite
缺席	quē xí	absence, absent
缺陷	quē xiàn	defect, flaw
确信	què xìn	to be sure, to be certain of
群众	qún zhòng	the masses (people)
染	rǎn	to dye
让步	ràng bù	concession, to concede, to give in
扰乱	rǎo luàn	to disturb
饶恕	ráo shù	to forgive, to spare
惹祸	rě huò	to stir up trouble
热泪盈眶	rè lèi yíng kuàng	having one's eyes brimming with tears
热门	rè mén	popular, in vogue
仁慈	rén cí	benevolence, charity, benevolent, charitable
人道	rén dào	humanity, human sympathy
认定	rèn dìng	to believe firmly
人格	rén gé	personality, integrity
人工	rén gōng	artificial, man-made
人家	rén jia	houshold, family, others, people, him/her, I
人间	rén jiān	this world
认可	rèn kě	approval, acknowledgement, to approve, to accept
任命	rèn mìng	to appoint, to nominate
忍耐	rěn nài	to exercise patience, to restrain oneself
人士	rén shì	person, public figure
忍受	rěn shòu	to bear, to endure
人为	rén wéi	artificial
人性	rén xìng	human nature, humanity
任性	rèn xìng	willful, headstrong, capricious
任意	rèn yì	arbitrary, at will, at random
人质	rén zhì	hostage
任重道远	rèn zhòng dào yuǎn	the burden is heavy and the road is long
仍旧	réng jiù	still, yet
日新月异	rì xīn yuè yì	to change with each passing day
日益	rì yì	more and more each day, increasingly
溶解	róng jiě	solution, dissolution, to dissolve, to melt
容貌	róng mào	appearance, looks
容纳	róng nà	to contain, to have the capacity of, to hold
容器	róng qì	container, vessel
融洽	róng qià	harmonious
容忍	róng rěn	to tolerate, to put up with
揉	róu	to knead, to massage, to rub
柔和	róu hé	soft, mild, gentle
弱点	ruò diǎn	weakness, weak point
若干	ruò gān	some, a few, a certain number
撒谎	sā huǎng	to tell lies
腮	sāi	cheek
散布	sàn bù	to scatter, to sow, to spread
散发	sàn fā	emission, distribution, to emit, to distribute
三角	sān jiǎo	triangle
散文	sǎn wén	prose, essay
丧失	sàng shī	to lose, to forfeit
嫂子	sǎo zi	wife of older brother
色彩	sè cǎi	colour, colouring, tint
啥	shá	what
刹车	shā chē	brake, to brake (car)
筛选	shāi xuǎn	Screening, to sieve out, to filter
擅长	shàn cháng	to be good at
山脉	shān mài	mountain range
闪烁	shǎn shuò	to twinkle, to glimmer, to flicker
擅自	shàn zì	without permission, on one's own initiative
商标	shāng biāo	trademark, logo
上级	shàng jí	higher authorities, superiors
上进心	shàng jìn xīn	desire to do better
伤脑筋	shāng nǎo jīn	troublesome, knotty
上任	shàng rèn	to take office
上瘾	shàng yǐn	addiction, to be addicted to, to get into a habit
上游	shàng yóu	upper reaches; advanced position
梢	shāo	tip of a branch
捎	shāo	to pass on, to bring sth. to sb.
哨	shào	whistle, sentry
奢侈	shē chǐ	luxurious, extravagant
涉及	shè jí	involve, concern
设立	shè lì	to set up, to establish
社区	shè qū	community
摄取	shè qǔ	to absorb, to take a photo
摄氏度	shè shì dù	degree centigrade
设想	shè xiǎng	to imagine, to assume
设置	shè zhì	to install, to set up
深奥	shēn ào	deep, abstruse, profound
申报	shēn bào	declaration, to declare, to report, to register
审查	shěn chá	censorship, investigation, to censor, to inspect, to examine
深沉	shēn chén	deep, dull, heavy
审理	shěn lǐ	to try (law), to hear (a case)
审美	shěn měi	taste, appreciation of the beauty, esthetic
审判	shěn pàn	trial, put (sb) on trial
神气	shén qì	(facial) expression, spirited, cocky
神奇	shén qí	miraculous, mystical
神情	shén qíng	look, expression, mien
深情厚谊	shēn qíng hòu yì	profound friendship
神色	shén sè	expression, look
神圣	shén shèng	holy, sacred
绅士	shēn shì	gentleman
神态	shén tài	expression, manner
渗透	shèn tòu	osmosis, infiltration, to permeate, to infiltrate
神仙	shén xiān	supernatural being, fairy, elf, immortal
呻吟	shēn yín	to moan, to groan
慎重	shèn zhòng	cautious, careful, prudent
盛产	shèng chǎn	to abound, to teem with
牲畜	shēng chù	livestock, domesticated animals
生存	shēng cún	existence, to exist, to survive
胜负	shèng fù	victory or defeat
省会	shěng huì	provincial capital
生机	shēng jī	chance of survival, vitality
盛开	shèng kāi	to bloom
生理	shēng lǐ	physiology
声明	shēng míng	statement, declaration, to state, to declare
盛情	shèng qíng	magnificent hospitality, great kindness
声势	shēng shì	momentum
生疏	shēng shū	strange, unfamiliar, out of practice
生态	shēng tài	ecology
生物	shēng wù	organism, living thing
生效	shēng xiào	to take effect, to come into effect
盛行	shèng xíng	to prevail, to be in vogue
生锈	shēng xiù	corrosion , to rust, to corrode
生育	shēng yù	to bear, to give birth to, procreate
声誉	shēng yù	reputation, fame
拾	shí	to pick up, 10 (in banks)
势必	shì bì	certainly will, is bound to
识别	shí bié	to identify, to distinguish
时差	shí chā	time difference
时常	shí cháng	often, frequently
世代	shì dài	generation, era
时而	shí ér	occasionally, from time to time
师范	shī fàn	teacher training, pedagogical
示范	shì fàn	demonstration, to demonstrate, to show how to do sth.
释放	shì fàng	to release, to set free
是非	shì fēi	quarrel, dispute, right or wrong
事故	shì gù	accident
时光	shí guāng	time, days
实惠	shí huì	tangible benefit, material advantage, advantageous
时机	shí jī	moment of opportunity, fortunate timing
事迹	shì jì	deed, achievement
施加	shī jiā	to exert (pressure)
事件	shì jiàn	event, happening, incident
世界观	shì jiè guān	worldview
实力	shí lì	strength
视力	shì lì	eyesight
势力	shì li	force, power, influence
使命	shǐ mìng	mission, task
实施	shí shī	to carry out, to enforce, to implement
时事	shí shì	current affairs, present situation
逝世	shì shì	to pass away, to die
实事求是	shí shì qiú shì	to be practical and realistic
事态	shì tài	situation, state of affairs
尸体	shī tǐ	dead body, cadaver
试图	shì tú	to attempt, to try
示威	shì wēi	demonstration, to demonstrate against
失误	shī wù	lapse, mistake, fault
事务	shì wù	work, routine, affair
视线	shì xiàn	line of sight
事项	shì xiàng	matter, item
试验	shì yàn	experiment, to test, to experiment
视野	shì yě	field of vision
事业	shì yè	undertaking, career
适宜	shì yí	suitable, appropriate
示意	shì yì	hint, sign, signal, to hint, to signify
石油	shí yóu	oil, petroleum
施展	shī zhǎn	to give full play, to put to good use
实质	shí zhì	essence, substance
时装	shí zhuāng	fashionable dress, latest fashion
失踪	shī zōng	to disappear, to be missing
十足	shí zú	complete, hundred percent, full of
收藏	shōu cáng	to collect, to store up
手法	shǒu fǎ	technique, trick, skill
守护	shǒu hù	to guard, to protect
手势	shǒu shì	gesture, sign, signal
收缩	shōu suō	to shrink, to contract
首要	shǒu yào	most important, chief, principal
收益	shōu yì	profit, income
手艺	shǒu yì	craftsmanship, handicraft
收音机	shōu yīn jī	radio
授予	shòu yǔ	to award, to confer, to grant
受罪	shòu zuì	to endure, to suffer, to have a hard time
数	shǔ	to count
竖	shù	to erect, to stand, vertical
束	shù	bundle, cluster, to bind, to tie Measure, for a bundle of
舒畅	shū chàng	happy, entirely free from worry
数额	shù é	amount
书法	shū fǎ	calligraphy
束缚	shù fù	constraint, shackles, to restrict, to bind, to tie down
疏忽	shū hu	negligence, carelessness, to neglect, to omit
书籍	shū jí	books, works, literature
书记	shū jì	secretary
树立	shù lì	to set up, to establish
书面	shū miàn	written, in written form
数目	shù mù	number, amount, quantity
耍	shuǎ	to play with
衰老	shuāi lǎo	to age, to grow old, old and weak
率领	shuài lǐng	to lead, to command
衰退	shuāi tuì	recession, decline, to decline, to fall
涮火锅	shuàn huǒ guō	to eat Hot Pot
双胞胎	shuāng bāo tāi	twins
爽快	shuǎng kuài	refreshed, rejuvenated, frank, outright
水利	shuǐ lì	water conservancy, irrigation works
水龙头	shuǐ lóng tóu	faucet, tap
水泥	shuǐ ní	cement
司法	sī fǎ	judicature, justice
司令	sī lìng	commander, commanding officer
思念	sī niàn	to miss, to think of, to long for
思索	sī suǒ	to think deeply, to ponder
死亡	sǐ wáng	death, to die
思维	sī wéi	thought, thinking
斯文	sī wen	refined, educated, gentle
肆无忌惮	sì wú jì dàn	unrestrained, without the slightest scruple
思绪	sī xù	train of thought, thinking, feeling
饲养	sì yǎng	to raise, to rear
四肢	sì zhī	arms and legs, four limbs
私自	sī zì	without approval, secretly, privately
耸	sǒng	to shrug, to startle
艘	sōu	Measure, for ships, boats
搜索	sōu suǒ	to search, to look for sth.
俗话	sú huà	proverb, saying
素食主义	sù shí zhǔ yì	vegetarianism
诉讼	sù sòng	lawsuit, litigation
苏醒	sū xǐng	to wake up, to regain consciousness
塑造	sù zào	to shape, to mould
素质	sù zhì	quality, basic essence
算了	suàn le	forget it!
算数	suàn shù	to count, to hold, to keep one's word, to be valid
隧道	suì dào	tunnel
随即	suí jí	immediately, right afterwards
随身	suí shēn	to take with one
随手	suí shǒu	conveniently, without extra trouble
随意	suí yì	as one wishes, voluntary, random
岁月	suì yuè	years
损坏	sǔn huài	to damage, to break, to spoil
索赔	suǒ péi	to claim damages
索性	suǒ xìng	might as well, simply
塌	tā	to collapse, to fall down, to cave in
踏实	tā shi	down-to-earth, anxiety-free
泰斗	tài dǒu	leading authority, magnate
台风	tái fēng	hurricane, typhoon
太空	tài kōng	outer space
坦白	tǎn bái	confession, to confess, to admit, frank, candid
探测	tàn cè	sounding, eploration, to explore, to sound, to probe
瘫痪	tān huàn	paralysis
贪婪	tān lán	greed, greedy, avid, grasping
叹气	tàn qì	sigh, to sigh
摊儿	tān r	street vendor, stall, stand
探索	tàn suǒ	to explore, to probe
探讨	tàn tǎo	to investigate, to discuss, to probe into
探望	tàn wàng	to visit
贪污	tān wū	corruption, corrupt
弹性	tán xìng	elasticity
糖葫芦	táng hú lu	sugarcoated haws on a stick
倘若	tǎng ruò	if, in case
掏	tāo	to take out, to fish out
陶瓷	táo cí	ceramics, porcelain
讨价还价	tǎo jià huán jià	to bargain
淘气	táo qì	naughty
淘汰	táo tài	to eliminate through selection, to wash
滔滔不绝	tāo tāo bù jué	talking non-stop
特长	tè cháng	personal strength, speciality
特定	tè dìng	special, specific, particular
特色	tè sè	distinguishing feature, characteristic
提拔	tí bá	to select for promotion
题材	tí cái	subject matter, theme
提炼	tí liàn	to extract, to refine
体谅	tǐ liàng	to empathize, to show understanding
体面	tǐ miàn	dignity, face, honourable
提示	tí shì	to prompt, to point out
体系	tǐ xì	system, setup
提议	tí yì	proposal, suggestion, to propose, to suggest
舔	tiǎn	to lick
天才	tiān cái	talent, gift, talented, gifted
田径	tián jìng	track and field, athletics
天伦之乐	tiān lún zhī lè	family happiness
天然气	tiān rán qì	natural gas
天生	tiān shēng	innate, natural
天堂	tiān táng	paradise, heaven
天文	tiān wén	astronomy
挑拨	tiǎo bō	to instigate, to stir up trouble, to provoke
调和	tiáo hé	reconciliation, to harmonize, to mediate
调剂	tiáo jì	to adjust, to regulate, to fill a prescription
调节	tiáo jié	to adjust, to regulate, to reconcile
调解	tiáo jiě	to mediate, to conciliate
条款	tiáo kuǎn	clause, article, term
条理	tiáo lǐ	orderliness, method, system
调料	tiáo liào	flavouring, seasoning
挑剔	tiāo ti	picky, fussy
挑衅	tiǎo xìn	provocation, to provoke
条约	tiáo yuē	treaty, pact
跳跃	tiào yuè	to jump, to hop, to skip
挺拔	tǐng bá	tall and straight
停泊	tíng bó	to anchor, to berth at
停顿	tíng dùn	pause, halt, to pause, to come to a standstill
停滞	tíng zhì	to stagnate
亭子	tíng zi	pavilion
同胞	tóng bāo	brother or sister by blood, fellow citizen, compatriot
统筹兼顾	tǒng chóu jiān gù	to make a plan taking into account all factors
童话	tóng huà	fairy tale
通货膨胀	tōng huò péng zhàng	inflation
统计	tǒng jì	statistics
铜矿	tóng kuàng	copper mine
通俗	tōng sú	popular, understandable
统统	tǒng tǒng	completely, entirely
通用	tōng yòng	commonly used, interchangeable
同志	tóng zhì	comrade, homosexual
投机	tóu jī	to speculate, opportunistic, congenial
投票	tóu piào	poll, to vote
投降	tóu xiáng	surrender, to surrender
投掷	tóu zhì	to throw, to toss
秃	tū	bald, blunt
图案	tú àn	design, pattern
徒弟	tú dì	apprentice
途径	tú jìng	way, approach, route
涂抹	tú mǒ	to paint, to smear
突破	tū pò	to break trhough, to make a breakthrough
土壤	tǔ rǎng	soil, earth
团结	tuán jié	rally, to unite, to join forces, to hold a rally
团体	tuán tǐ	group, organization, team
团员	tuán yuán	member
推测	tuī cè	speculation, to speculate, to guess, to presume
推翻	tuī fān	to overthrow, to overturn, to reverse, to topple
推理	tuī lǐ	reasoning, inference
推论	tuī lùn	deduction, reasoned conclusion, to infer
推销	tuī xiāo	to market, to sell
吞咽	tūn yàn	to swallow
妥当	tuǒ dang	appropriate, proper, suitable
脱离	tuō lí	to break away from, to separate oneself from
唾沫	tuò mo	spittle, saliva
妥善	tuǒ shàn	appropriate, proper, careful
妥协	tuǒ xié	compromise, to comprmise, to reach terms
拖延	tuō yán	adjournment, procrastination, to adjourn, to delay
椭圆	tuǒ yuán	ellipse, oval, elliptic
托运	tuō yùn	to consign (goods), to check (baggage)
哇	wa	oh
瓦解	wǎ jiě	collapse, disintegrate
挖掘	wā jué	to dig, to excavate
娃娃	wá wa	baby, small child, doll
外表	wài biǎo	appearance
外行	wài háng	amateur, laity, unprofessional
外界	wài jiè	the outside world
歪曲	wāi qū	to distort, to misrepresent
外向	wài xiàng	extrovert
丸	wán	Measure, for pills, small balls, etc.
完备	wán bèi	complete, perfect, faultless
完毕	wán bì	to complete, to finish
万分	wàn fēn	very much, extremely
顽固	wán gù	stubborn, obstinate
挽回	wǎn huí	to retrieve, to redeem, to save (face)
挽救	wǎn jiù	to save, to rescue
玩弄	wán nòng	to play with, to flirt
顽强	wán qiáng	tenacious, indomitable
惋惜	wǎn xī	to feel sorry for sbd., to sympathize with
玩意儿	wán yì r	toy
往常	wǎng cháng	as one used to do
网络	wǎng luò	network, internet
往事	wǎng shì	past events, the past
妄想	wàng xiǎng	wishful thinking, a vain hope, delusion, to vainly hope to do sth
违背	wéi bèi	to disobey, to violate, to go against
微不足道	wēi bù zú dào	insignificant, negligible
维持	wéi chí	to keep, to maintain, to preserve
唯独	wéi dú	only, just, alone
威风	wēi fēng	power and prestige, majestic, awe-inspiring
微观	wēi guān	microscopic
危机	wēi jī	crisis
畏惧	wèi jù	to fear, to dread, to be afraid of
胃口	wèi kǒu	appetite
威力	wēi lì	might, formidable power
未免	wèi miǎn	rather, a bit too
为难	wéi nán	to feel embarrassed, to feel awkward
为期	wéi qī	be done by a definite date
维生素	wéi shēng sù	vitamin
为首	wéi shǒu	to head, to be headed by
威望	wēi wàng	prestige
慰问	wèi wèn	consolation, greetings, to express sympathy
威信	wēi xìn	prestige and public reliance (government, etc.)
卫星	wèi xīng	satellite
维修	wéi xiū	maintenance, to maintain, to protect
位于	wèi yú	to lie, to be located at
委员	wěi yuán	committee member, commissioner
伪造	wěi zào	to forge, to fake
温带	wēn dài	temperate zone
温和	wēn hé	moderate, mild, temperate
文凭	wén píng	diploma
问世	wèn shì	to be published, to come out
文物	wén wù	cultural relic
文献	wén xiàn	document, literature
文雅	wén yǎ	elegant, refined
文艺	wén yì	literature and art
窝	wō	nest Measure, for broods, nests, etc.
勿	wù	(do) not
无比	wú bǐ	incomparable, matchless
务必	wù bì	to be sure to, must
误差	wù chā	difference, error, inaccuracy (in easuring)
无偿	wú cháng	free, free of charge
无耻	wú chǐ	shameless, infamous, dishonorable
无从	wú cóng	to have no way of doing sth., to not to be in a position to do sth.
舞蹈	wǔ dǎo	dance
无动于衷	wú dòng yú zhōng	aloof, indifferent, unconcerned
无非	wú fēi	nothing but, only, simply
乌黑	wū hēi	jet-black
误解	wù jiě	misunderstanding, to misunderstand
无精打采	wú jīng dǎ cǎi	dispirited, listless, in low spirits
无可奉告	wú kě fèng gào	no comment
无可奈何	wú kě nài hé	to have no alternative
无赖	wú lài	rascal, hoodlum, hooligan
无理取闹	wú lǐ qǔ nào	to make trouble without reason, to be deliberately awkward
物美价廉	wù měi jià lián	cheap and fine
污蔑	wū miè	to slander, to defile
无能为力	wú néng wéi lì	powerless, helpless
无穷无尽	wú qióng wú jìn	endless, boundless
侮辱	wǔ rǔ	to insult, to humiliate, to dishonor
务实	wù shí	pragmatic
无微不至	wú wēi bú zhì	meticulously
武侠	wǔ xiá	martial arts chivalry (Chinese genre)
诬陷	wū xiàn	to plant false evidence against sbd.
无忧无虑	wú yōu wú lǜ	carefree and without worries
无知	wú zhī	ignorance, ignorant, innocent
武装	wǔ zhuāng	military, arms, equipment, to arm, to equip
物资	wù zī	goods and materials
溪	xī	small stream, small river
细胞	xì bāo	cell (biology)
媳妇	xí fu	wife, daughter-in-law
膝盖	xī gài	knee
袭击	xí jī	surprise attack, to attack by surprise, to raid
细菌	xì jūn	bacterium, germ
系列	xì liè	series
熄灭	xī miè	to go out, to die out, to stop burning
吸取	xī qǔ	to absorb, to assimilate
昔日	xī rì	formerly, in olden days
牺牲	xī shēng	sacrifice, to sacrifice oneself, to lay down one's life
习俗	xí sú	custom, tradition
喜闻乐见	xǐ wén lè jiàn	to love to see and hear, a delight to see
夕阳	xī yáng	the setting sun
喜悦	xǐ yuè	joy, delight, happy, joyous
细致	xì zhì	careful, fine, meticulous
霞	xiá	evening or morning glow
狭隘	xiá ài	narrow, tight, narrow minded
峡谷	xiá gǔ	canyon, ravine
夏令营	xià lìng yíng	summer camp
下属	xià shǔ	subordinate, vassal
狭窄	xiá zhǎi	narrow, restricted (knowledge)
弦	xián	bowstring, string, hypotenuse
嫌	xián	suspicion, resentment, to dislike, to mind
现场	xiàn chǎng	scene, site, locale, live, on-the-spot, on-site
现成	xiàn chéng	ready-made, readily available
宪法	xiàn fǎ	constitution (law)
陷害	xiàn hài	to frame up
闲话	xián huà	gossip, digression
贤惠	xián huì	chaste, virtuous (woman)
衔接	xián jiē	to join together, to combine
先进	xiān jìn	advanced, developed
鲜明	xiān míng	clear-cut, distinct, colourful
掀起	xiān qǐ	to lift, to begin, to set off
先前	xiān qián	before, previously
馅儿	xiàn r	filling
陷入	xiàn rù	to get caught up in, to sink into
线索	xiàn suǒ	clue, hint, trail
纤维	xiān wéi	fiber
嫌疑	xián yí	suspicion
显著	xiǎn zhù	notable, outstanding, remarkable
现状	xiàn zhuàng	current situation, status quo
巷	xiàng	lane, alley
相差	xiāng chà	to differ
向导	xiàng dǎo	guide
相等	xiāng děng	to be equal, equal
想方设法	xiǎng fāng shè fǎ	to do everything possible
相辅相成	xiāng fǔ xiāng chéng	to complement each other
向来	xiàng lái	always, all along
响亮	xiǎng liàng	loud and clear, resounding
镶嵌	xiāng qiàn	mosaic, to inlay, to embed, to set
向往	xiàng wǎng	to yearn for, to look forward to
相应	xiāng yìng	to correspond, corresponding, appropriate, relevant
响应	xiǎng yìng	to answer, to respond to
乡镇	xiāng zhèn	village, township
消除	xiāo chú	to eliminate, to remove
消毒	xiāo dú	disinfection, sterilization, to disinfect, to sterilize
消防	xiāo fáng	fire control, fire fighting
消耗	xiāo hào	consumption, to use up, to consume
销毁	xiāo huǐ	to destry (by melting or burning)
消极	xiāo jí	negative, passive, inactive
肖像	xiào xiàng	portrait
小心翼翼	xiǎo xīn yì yì	very careful, prudent, deliberate
效益	xiào yì	benefit
屑	xiè	crumbs, filings, to be worth it
携带	xié dài	to carry, to take along
协会	xié huì	association, union, society
谢绝	xiè jué	to refuse politely
泄露	xiè lòu	to leak (information), to let out
泄气	xiè qì	to feel discouraged, to lose heart, to be frustrated
协商	xié shāng	to consult with, to talk things over, to negotiate about
协议	xié yì	agreement, pact
协助	xié zhù	to assist, to help, to aid
写作	xiě zuò	writing, to write, to compose
新陈代谢	xīn chén dài xiè	metabolism
心得	xīn dé	gained knowledge, what one has learned
信赖	xìn lài	to trust, to rely on
新郎	xīn láng	bridegroom
心灵	xīn líng	heart, soul, spirit, bright, smart
信念	xìn niàn	faith, belief, conviction
新娘	xīn niáng	bride
辛勤	xīn qín	industrious, hardworking, diligent
薪水	xīn shuǐ	salary, wage
心态	xīn tài	attitude, way of thinking, mentality
心疼	xīn téng	to love dearly, to feel distressed, to feel sorry
欣慰	xīn wèi	to be gratified
欣欣向荣	xīn xīn xiàng róng	flourishing, thriving
心血	xīn xuè	painstaking effort, heart's blood
心眼儿	xīn yǎn r	mind, intention, cleverness
信仰	xìn yǎng	belief, conviction, faith, to believe in
新颖	xīn yǐng	new, original
信誉	xìn yù	prestige, reputation, standing
腥	xīng	fishy (smell)
性感	xìng gǎn	sex appeal, sexy
兴高采烈	xìng gāo cǎi liè	to be happy and excited, to be in high spirits
幸好	xìng hǎo	fortunately
兴隆	xīng lóng	prosperous, thriving
性命	xìng mìng	life
性能	xìng néng	function, capability, performance
性情	xìng qíng	nature, temperament
刑事	xíng shì	criminal, penal
形态	xíng tài	shape, form, pattern
兴旺	xīng wàng	proserous, thriving
行政	xíng zhèng	administration
兴致勃勃	xìng zhì bó bó	to be in high spirits
凶恶	xiōng è	fierce, evil, wicked
雄厚	xióng hòu	rich, abundant, solid
胸怀	xiōng huái	heart, mind, breadth of vision
凶手	xiōng shǒu	murderer, assassin
胸膛	xiōng táng	chest, thorax
绣	xiù	to emroider
羞耻	xiū chǐ	ashamed
修复	xiū fù	restoration, to repair, to restore
修建	xiū jiàn	to build, to construct
嗅觉	xiù jué	sense of smell
修理	xiū lǐ	to repair, to fix
修养	xiū yǎng	training, self-cultivation, good manners
虚假	xū jiǎ	false, sham, dishonest
酗酒	xù jiǔ	excessive drinking, alcohol abuse
许可	xǔ kě	permission, to allow, to permit
畜牧	xù mù	animal husbandry
需求	xū qiú	requirement, demand
虚荣	xū róng	vanity
虚伪	xū wěi	hypocritical
序言	xù yán	preface, prologue
须知	xū zhī	notice, information
选拔	xuǎn bá	to choose, to select
悬挂	xuán guà	to hang, to suspend
旋律	xuán lǜ	rhythm, melody
悬念	xuán niàn	suspense (movie, play, etc.), concern
宣誓	xuān shì	to swear an oath, to make a vow
选手	xuǎn shǒu	athlete, player
悬崖峭壁	xuán yá qiào bì	cliffside
宣扬	xuān yáng	to publicize, to propagate, to make well known
旋转	xuán zhuǎn	to rotate, to spin
学历	xué lì	educational background
削弱	xuē ruò	to weaken
雪上加霜	xuě shàng jiā shuāng	to add frost to snow
